target,layer,process,split_type,split_name,descriptor_family,model,best_cv_score,best_params,n_trials,status
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,ridge,0.39200366217184923,"{""alpha"": 0.1767016940294795}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,rf,0.619279182019573,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_plus_topology,lgbm,0.5974893665019193,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,ridge,0.31104285879824145,"{""alpha"": 3.907967156822881}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,rf,0.6331254032685916,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,rac_only,lgbm,0.6131552311853082,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,ridge,0.4837368443874538,"{""alpha"": 0.008632008168602538}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,rf,0.7768097112355651,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geo_plus_rac,lgbm,0.8021258075326564,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.15bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,ridge,0.4545235377481699,"{""alpha"": 157.41890047456639}",10,ok
