layer,process,target,comparison,plus_family,base_family,r2_plus,r2_base,delta_r2
A_raw_uptake,natural_gas_purification,ngp_CH4_9.0bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.7262076008382401,0.6231348431781717,0.1030727576600684
A_raw_uptake,natural_gas_purification,ngp_CO2_0.1bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.41143034846563453,0.2495335855377136,0.16189676292792093
A_raw_uptake,natural_gas_purification,ngp_CO2_1.0bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5660702395793833,0.25952379193831576,0.30654644764106753
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_0.01bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.5186165993516821,0.029365915940122923,0.4892506834115592
A_raw_uptake,landfill_gas_vpsa,landfill_CH4_4.4bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.7113443762594005,0.5569073468274911,0.1544370294319094
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_0.26bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.36383987047962885,0.18823069391134245,0.1756091765682864
A_raw_uptake,landfill_gas_vpsa,landfill_CO2_3.2bar,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6436703953495271,0.2972415462301082,0.3464288491194189
B_working_capacity,methane_storage_psa,methane_storage_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9846260197239425,0.9748386746506857,0.009787345073256737
B_working_capacity,post_combustion_vsa,postcomb_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.4802934950911467,0.31913998272685273,0.16115351236429398
B_working_capacity,pre_combustion_psa,precomb_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.9105375226830754,0.8370157001283279,0.07352182255474748
B_working_capacity,natural_gas_purification,ngp_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.611698357136819,0.36452945382434687,0.2471689033124721
B_working_capacity,landfill_gas_vpsa,landfill_working_capacity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6996408611155338,0.41210122087201223,0.2875396402435216
C_direct_log_selectivity,post_combustion_vsa,postcomb_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.7935382246176348,0.6702823593388898,0.12325586527874499
C_direct_log_selectivity,pre_combustion_psa,precomb_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.8886708164739814,0.8405880124300247,0.048082804043956706
C_direct_log_selectivity,natural_gas_purification,ngp_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6678309676368774,0.49723831096878224,0.1705926566680952
C_direct_log_selectivity,landfill_gas_vpsa,landfill_log_selectivity,geo_plus_rac - enriched_interpretable,geo_plus_rac,enriched_interpretable,0.6607574071339422,0.5212324860828655,0.1395249210510766
