layer,process,model,descriptor_family,r2_random_mean,r2_random_std,r2_ood_mean,r2_ood_std,r2_gap_mean,r2_gap_std,n_targets
A_raw_uptake,post_combustion_vsa,lgbm,geometry_plus_topology,0.647460135725427,0.145072472209636,0.2302132413885123,0.2160167576150449,0.41724689433691475,0.18111432258501536,4
A_raw_uptake,post_combustion_vsa,lgbm,rac_only,0.6248814538789296,0.12237102257186597,-0.5847078138019517,0.6361060666075082,1.2095892676808813,0.701069677854915,4
A_raw_uptake,post_combustion_vsa,lgbm,topology_only,0.20842812289572404,0.12874372299535944,-0.4709964984731906,0.27880860781919253,0.6794246213689146,0.3015338923916905,4
A_raw_uptake,post_combustion_vsa,rf,enriched_interpretable,0.6131372689843341,0.1444246183460013,0.12823122663339054,0.17634650626971546,0.4849060423509436,0.03729407314831323,4
A_raw_uptake,post_combustion_vsa,rf,geo_plus_rac,0.8105549201606279,0.08787579973153896,0.3925700882091996,0.17746187225970944,0.4179848319514283,0.12181086190081947,4
A_raw_uptake,post_combustion_vsa,rf,geometry_only,0.5607560004145182,0.16019867069837243,0.1532912442152206,0.14230484901318058,0.4074647561992977,0.05977177015604836,4
A_raw_uptake,post_combustion_vsa,rf,geometry_plus_topology,0.6709163327117991,0.12074552814599622,0.29445590685043826,0.12841024382642924,0.37646042586136075,0.0946876297430532,4
A_raw_uptake,post_combustion_vsa,rf,rac_only,0.6465482230756738,0.08978492353638906,-0.4889138423669748,0.4183902059758014,1.1354620654426486,0.4869745745963976,4
A_raw_uptake,post_combustion_vsa,rf,topology_only,0.20064640833289177,0.13613637811445303,-0.143362102094239,0.13165533738651428,0.34400851042713076,0.26528549266251017,4
A_raw_uptake,post_combustion_vsa,ridge,enriched_interpretable,0.42945597188973494,0.14050662137807063,0.19322536894165582,0.16403949148426508,0.23623060294807913,0.1655185968180047,4
A_raw_uptake,post_combustion_vsa,ridge,geo_plus_rac,0.6002338140287525,0.13270874991646153,0.2628862741335093,0.1666566785591786,0.3373475398952432,0.12004122925594267,4
A_raw_uptake,post_combustion_vsa,ridge,geometry_only,0.36033067859121737,0.13451963842576842,0.16963429741948705,0.14769826815962456,0.1906963811717303,0.13313212456383594,4
A_raw_uptake,post_combustion_vsa,ridge,geometry_plus_topology,0.4894295074907574,0.14676196618378554,0.1424300031496582,0.24768987531828104,0.34699950434109916,0.20725804416045177,4
A_raw_uptake,post_combustion_vsa,ridge,rac_only,0.3924495791062167,0.09211762765375614,-0.546198966231991,0.16523526436374056,0.9386485453382076,0.2539411113120026,4
A_raw_uptake,post_combustion_vsa,ridge,topology_only,0.21723904371472227,0.13534548019154913,-0.4816415564345578,0.2126561848251146,0.69888060014928,0.21862444866112857,4
A_raw_uptake,pre_combustion_psa,lgbm,enriched_interpretable,0.9147916225536623,0.1020503022886245,0.7448872614337526,0.30099949157302197,0.1699043611199097,0.19905550621255064,4
A_raw_uptake,pre_combustion_psa,lgbm,geo_plus_rac,0.9705125458252908,0.031064610881214552,0.8285419409927566,0.20716388727576984,0.1419706048325343,0.17622254963142756,4
A_raw_uptake,pre_combustion_psa,lgbm,geometry_only,0.8981997560797281,0.11969919327581305,0.7339286191377391,0.30806887875519884,0.16427113694198908,0.18841308146143096,4
A_raw_uptake,pre_combustion_psa,lgbm,geometry_plus_topology,0.9299785326003707,0.08137991604793945,0.7631991003916072,0.2638041810170726,0.16677943220876348,0.1827228582576509,4
A_raw_uptake,pre_combustion_psa,lgbm,rac_only,0.7765326039603095,0.028848805794553994,-0.6002772611787918,0.5868280021776295,1.3768098651391014,0.6098801473178185,4
A_raw_uptake,pre_combustion_psa,lgbm,topology_only,0.34712294447381814,0.08979965454553329,-1.3519968736483647,1.5265227116652293,1.6991198181221827,1.5693394481384852,4
