target,process,layer,family,role,fold,n_mofs,recall_at_100,precision_at_100,misid_at_100,recall_at_1000,precision_at_1000,misid_at_1000
ngp_working_capacity,natural_gas_purification,B_working_capacity,geo_plus_rac,recommended/best,1,53994,0.77,0.77,,0.26,0.26,
ngp_working_capacity,natural_gas_purification,B_working_capacity,geo_plus_rac,recommended/best,2,53994,0.82,0.82,,0.495,0.495,
ngp_working_capacity,natural_gas_purification,B_working_capacity,geo_plus_rac,recommended/best,3,53994,0.14,0.14,,0.184,0.184,
landfill_working_capacity,landfill_gas_vpsa,B_working_capacity,geo_plus_rac,recommended/best,0,93957,0.49,0.49,,0.546,0.546,
landfill_working_capacity,landfill_gas_vpsa,B_working_capacity,geo_plus_rac,recommended/best,1,53994,0.39,0.39,,0.249,0.249,
landfill_working_capacity,landfill_gas_vpsa,B_working_capacity,geo_plus_rac,recommended/best,2,53994,0.63,0.63,,0.548,0.548,
landfill_working_capacity,landfill_gas_vpsa,B_working_capacity,geo_plus_rac,recommended/best,3,53994,0.11,0.11,,0.271,0.271,
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,0,93957,0.15,0.15,0.85,0.447,0.447,0.5529999999999999
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,1,53994,0.1,0.1,0.9,0.308,0.308,0.692
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,2,53994,0.23,0.23,0.77,0.596,0.596,0.404
postcomb_log_selectivity,post_combustion_vsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,3,53994,0.04,0.04,0.96,0.349,0.349,0.651
precomb_log_selectivity,pre_combustion_psa,C_direct_log_selectivity,geo_plus_rac,recommended/best,0,93957,0.31,0.31,0.69,0.3,0.3,0.7
precomb_log_selectivity,pre_combustion_psa,C_direct_log_selectivity,geo_plus_rac,recommended/best,1,53994,0.06,0.06,0.94,0.192,0.192,0.808
precomb_log_selectivity,pre_combustion_psa,C_direct_log_selectivity,geo_plus_rac,recommended/best,2,53994,0.12,0.12,0.88,0.468,0.468,0.532
precomb_log_selectivity,pre_combustion_psa,C_direct_log_selectivity,geo_plus_rac,recommended/best,3,53994,0.03,0.03,0.97,0.128,0.128,0.872
ngp_log_selectivity,natural_gas_purification,C_direct_log_selectivity,geo_plus_rac,recommended/best,0,93957,0.39,0.39,0.61,0.537,0.537,0.46299999999999997
ngp_log_selectivity,natural_gas_purification,C_direct_log_selectivity,geo_plus_rac,recommended/best,1,53994,0.56,0.56,0.43999999999999995,0.402,0.402,0.598
ngp_log_selectivity,natural_gas_purification,C_direct_log_selectivity,geo_plus_rac,recommended/best,2,53994,0.53,0.53,0.47,0.669,0.669,0.33099999999999996
ngp_log_selectivity,natural_gas_purification,C_direct_log_selectivity,geo_plus_rac,recommended/best,3,53994,0.47,0.47,0.53,0.397,0.397,0.603
landfill_log_selectivity,landfill_gas_vpsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,0,93957,0.35,0.35,0.65,0.505,0.505,0.495
landfill_log_selectivity,landfill_gas_vpsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,1,53994,0.57,0.57,0.43000000000000005,0.386,0.386,0.614
landfill_log_selectivity,landfill_gas_vpsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,2,53994,0.38,0.38,0.62,0.664,0.664,0.33599999999999997
landfill_log_selectivity,landfill_gas_vpsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,3,53994,0.42,0.42,0.5800000000000001,0.494,0.494,0.506
